number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
50,7.702411290712876,2025-10-15 14:50:11.258791,2025-10-15 14:50:11.622071,0 days 00:00:00.363280,0.03802544950289038,0.9357919338705497,0.008278699652681593,True,27,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
51,7.702411290712876,2025-10-15 14:50:11.622990,2025-10-15 14:50:12.013848,0 days 00:00:00.390858,0.9702623759258517,0.9586570849364209,0.6239878027747205,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
52,14.125074000503421,2025-10-15 14:50:12.014772,2025-10-15 14:50:12.368667,0 days 00:00:00.353895,0.009174155038684106,0.4452807932868869,0.26042577783587767,True,26,0.03816613353357845,3020495.612203455,0.7692307692307693,0.7692307692307693,0.7692307692307693,COMPLETE
53,12.31665071272732,2025-10-15 14:50:12.369586,2025-10-15 14:50:12.737235,0 days 00:00:00.367649,0.022297159364709593,0.000122339319170651,0.6471536851980759,True,27,0.040917463360565454,3011896.248476937,0.8518518518518519,0.8518518518518519,0.8518518518518519,COMPLETE
54,20.437222277814218,2025-10-15 14:50:12.738157,2025-10-15 14:50:13.147070,0 days 00:00:00.408913,0.002182612028671096,0.0005874957066385832,0.41100944952421026,True,30,0.11221965324938732,2788031.372779717,0.6333333333333333,0.6333333333333333,0.6333333333333333,COMPLETE
55,13.142178900006481,2025-10-15 14:50:13.148000,2025-10-15 14:50:13.526581,0 days 00:00:00.378581,0.007021601987749822,0.35796282336451163,0.8714440623369312,True,28,0.03590192793211899,3027656.91617429,0.8214285714285714,0.8214285714285714,0.8214285714285714,COMPLETE
56,13.319296686266188,2025-10-15 14:50:13.527515,2025-10-15 14:50:13.731234,0 days 00:00:00.203719,0.009667039650528148,0.22942468333143828,0.2804858578539912,True,19,0.04404516110055723,3002036.5537244524,0.7368421052631579,0.7368421052631579,0.7368421052631579,COMPLETE
57,21.392846473449225,2025-10-15 14:50:13.732153,2025-10-15 14:50:13.969289,0 days 00:00:00.237136,0.01707569218224427,0.13973419172472296,0.06467991729781217,True,22,0.1133773643783581,2784314.436955544,0.45454545454545453,0.45454545454545453,0.45454545454545453,COMPLETE
58,7.702411290712876,2025-10-15 14:50:13.970220,2025-10-15 14:50:14.359325,0 days 00:00:00.389105,0.004661306217339234,0.9975375683267106,0.0033101676735387236,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
59,14.622532920808695,2025-10-15 14:50:14.360275,2025-10-15 14:50:14.598808,0 days 00:00:00.238533,0.0017109817788444985,0.0003263906431720573,0.7549679623511959,True,17,0.06086527452387336,2949296.8945282935,0.6470588235294118,0.6470588235294118,0.6470588235294118,COMPLETE
