,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_819,288.017321368363,0.0152795323796946,0.355704271596456,0,1,1
Cluster_820,419.759771468636,-0.430408245225562,0.426648426397839,0,1,1
Cluster_821,84.5225249518869,0.246538202777898,0.485154991315492,0,1,1
Cluster_822,23.3688892516643,0.988933551405135,0.473035254904218,0,1,1
Cluster_823,56.1854132751455,0.398357371885508,0.308118652028816,0,1,1
Cluster_824,946.890803490433,0.403097014371505,0.220970983546122,0,1,1
Cluster_825,50.5086933223303,0.362998241228111,0.415138505872953,0,1,1
Cluster_826,346.710055823186,1.44180073302226,0.741637894438757,0.595709491566093,0.551369316300381,1
Cluster_827,78.4927962640731,0.573357058198052,0.813849775306308,0,1,1
Cluster_828,6837.16179291014,-0.506480232233639,0.520638836156057,0,1,1
Cluster_829,7419.76128999919,-0.192407137791513,0.522675337321667,0,1,1
Cluster_830,175.867878341859,0.162022672229872,0.221760576243783,0,1,1
Cluster_831,26.368599106887,-0.0151576167248909,0.246044383028188,0,1,1
Cluster_832,28.5458048014196,0.316767589707694,0.21691969139052,0,1,1
Cluster_833,44.0319501985108,0.904166868499052,0.648235314598336,0,1,1
Cluster_834,38.870631007367,0.419137523877342,0.407299387606204,0,1,1
Cluster_835,43.7945141173465,1.07032420417197,0.626319254083283,0.112281721683466,0.910600034133609,1
Cluster_836,38.8990160179592,0.223422626077765,0.364742472371198,0,1,1
Cluster_837,20.8672907778886,0.59190917669407,0.549797332935364,0,1,1
Cluster_838,1472.92096114468,-0.525227801707863,0.73762109434654,0,1,1
Cluster_839,692.292956711138,0.694449992553264,0.301266467361868,0,1,1
Cluster_840,48.5684347367363,0.48036909930773,0.435785963685227,0,1,1
Cluster_841,57.7704729928817,0.457286808123161,0.56696928292256,0,1,1
Cluster_842,23.9718521151336,-0.00315378208812517,0.306169322278053,0,1,1
Cluster_843,56.713318833477,0.213022392145046,0.33727620086699,0,1,1
Cluster_844,312.152181905868,0.473354975529455,0.621673672085321,0,1,1
Cluster_845,306.882611774625,0.36479096829473,0.592792442058222,0,1,1
Cluster_846,160.832421829774,1.24748899419673,0.649681062233403,0.380939215537445,0.703248352672474,1
Cluster_847,102.824753472305,0.185989752518947,0.481757069765475,0,1,1
Cluster_848,24.1960266246849,0.35589378792212,0.618426701145002,0,1,1
Cluster_849,192.713775767717,0.315976472154349,0.303947572855738,0,1,1
Cluster_850,37.2582012926713,1.11898233439717,0.380750121423871,0.31249454091364,0.754664711211204,1
Cluster_851,41.2921591026152,1.0250958674456,0.676870537210598,0.0370763182410309,0.970424154348595,1
Cluster_852,24.8803594538155,-0.0724310170854956,0.629895784903746,0,1,1
Cluster_853,24.6712341692844,0.149572270079164,0.675813177342112,0,1,1
Cluster_854,47.4767306347781,0.0745251208416105,0.360338217781894,0,1,1
Cluster_855,12.1223059366795,-0.227039369505402,0.91594422556845,0,1,1
Cluster_856,44.4049409069513,0.25847362762974,0.373940773058602,0,1,1
Cluster_857,1840.52354669577,0.331193486013239,0.219900102481496,0,1,1
Cluster_858,9953.89878660629,0.87668629724455,0.708395894800349,0,1,1
Cluster_859,24.9557866297756,0.300083036546993,0.527793513697869,0,1,1
Cluster_860,24.2650666100134,0.306586267359854,0.464073638158162,0,1,1
Cluster_861,35.3803725230155,0.349759098939223,0.248734927628845,0,1,1
Cluster_862,22.9229095219757,0.0760578000708031,0.356676801539566,0,1,1
Cluster_863,123.978856069759,1.21668967717596,0.459696284554556,0.47137574188995,0.637372435889229,1
Cluster_864,15.8214306228504,0.0570696957352912,0.664801087370104,0,1,1
Cluster_865,57.7218274720056,0.409085349149726,0.660706637682643,0,1,1
Cluster_866,32.449929182611,0.177425208239876,0.313172447704178,0,1,1
Cluster_867,70.302800558403,2.00875585215008,0.888911644409348,1.13482128228882,0.256450207233405,1
Cluster_868,62.8431332510967,0.446785356437885,0.261887318112041,0,1,1
Cluster_869,94.2964977537317,2.14419025233234,1.32227632723153,0.865318563728619,0.386863964586599,1
Cluster_870,35.3291202246426,0.783746409198135,0.689820987350551,0,1,1
Cluster_871,42.6708030162037,0.218937348272452,0.840790787728517,0,1,1
Cluster_872,125.689257563896,-0.1837693511994,0.583288821025545,0,1,1
Cluster_873,36.6374003441174,0.821376171828592,0.40222820552643,0,1,1
Cluster_874,40.1454538459297,0.632358193953489,0.314304585475225,0,1,1
Cluster_875,17.4124572264189,0.729268499501651,0.540239881623536,0,1,1
Cluster_876,21.750961373579,-0.0439896499704693,0.363663479234237,0,1,1
Cluster_877,22.501747643341,0.428323842198228,0.40088020492797,0,1,1
Cluster_878,17.5406113366923,1.45388821778875,0.622082547279213,0.729626992067073,0.465618218538361,1
Cluster_879,119.938055598448,0.347381441712523,0.309964450155539,0,1,1
Cluster_880,1470.69666662377,0.34184755334913,0.520571988938046,0,1,1
Cluster_881,11.6389153908591,0.740392930463982,0.338172551970714,0,1,1
Cluster_882,84.7253796613098,0.698636909667149,0.312437385713724,0,1,1
Cluster_883,293.919109085533,0.403114921697337,0.260028319977804,0,1,1
Cluster_884,61.7222617863895,0.429683356679433,0.21166774929698,0,1,1
Cluster_885,333.399581920409,0.357772931559346,0.570011813289083,0,1,1
Cluster_886,87.9433374849958,0.119510214434559,0.205482672710049,0,1,1
Cluster_887,37.5460362420588,0.452714885884853,0.383854301866201,0,1,1
Cluster_888,19.5121691710651,1.00420533516636,0.535796724980428,0.00784875115933455,0.993737666924757,1
Cluster_889,1066.34744990747,0.857144583154959,0.393349131568369,0,1,1
Cluster_890,45.1668393611383,-0.0238208896288733,0.435516553388034,0,1,1
Cluster_891,32.115051337017,0.337522217791898,0.234073618625033,0,1,1
Cluster_892,25.2839363099145,0.273299821172512,0.727815533896226,0,1,1
Cluster_893,1027.73619469244,0.404353817757572,0.251546724495531,0,1,1
Cluster_894,17.4151458829839,0.112376486456203,0.436941261729283,0,1,1
Cluster_895,330.428689299655,0.449006628017639,0.529670899848768,0,1,1
Cluster_896,31.3457410319379,0.909908398407914,0.484317806728272,0,1,1
Cluster_897,54.7688080319854,0.057671278297693,0.750226529023626,0,1,1
Cluster_898,74.8001989194538,-0.432152134140616,0.57100849723585,0,1,1
Cluster_899,32.0086989645277,0.898548302898254,0.632819853371569,0,1,1
Cluster_900,27.9251273359136,0.65910206887359,0.658441668484267,0,1,1
Cluster_901,1432.06549124552,-0.00120674605408421,0.266276681828359,0,1,1
Cluster_902,30.1597678753728,-0.899153628310986,0.975984474591241,0,1,1
Cluster_903,9.36719560876138,0.804279526326793,0.906614523595156,0,1,1
Cluster_904,56.6917297207088,0.648791037442602,0.688206885547296,0,1,1
Cluster_905,99.6428813462487,0.677712542557287,0.456710485126663,0,1,1
Cluster_906,600.304788447945,1.19212810993782,0.4385189979629,0.438129501413472,0.661292409745985,1
Cluster_907,190.605320295,1.05876781933108,0.359181917546012,0.163615751406964,0.870033643984827,1
Cluster_908,1330.15451231554,0.804729401287546,0.520243023241945,0,1,1
Cluster_909,102.313406904507,0.412622966017683,0.303671739933758,0,1,1
Cluster_910,28.6457778679019,0.396475990896956,0.602412455029372,0,1,1
Cluster_911,178.260764082447,0.632135633995171,0.337509021939914,0,1,1
Cluster_912,20.6854150706073,0.960328567805148,0.750589613649201,0,1,1
Cluster_913,140.034750084981,-0.0779679680992699,0.662838888723966,0,1,1
Cluster_914,19.2328173802661,0.18419682112718,0.801843884045942,0,1,1
Cluster_915,188.559484282601,0.822262471306858,0.494248289404856,0,1,1
Cluster_916,50.3303861433563,0.0207177487431148,0.368461847594314,0,1,1
Cluster_917,46.2024843863723,1.27879657364058,0.664598226524174,0.41949641529842,0.674853373976154,1
Cluster_918,120.689274209461,0.664603429388534,0.369119824565797,0,1,1
Cluster_919,362.811050334766,1.0689106834936,0.382552170728934,0.180134080437424,0.857047307882802,1
Cluster_920,54.507773321967,0.728695177780478,0.68755022927868,0,1,1
Cluster_921,24.826408663425,-0.0544456308015905,0.511710285305681,0,1,1
Cluster_922,117.679383838392,1.25032190096493,0.418136850981568,0.598660224223979,0.549399486713627,1
Cluster_923,28.9848904913743,0.0586390827356767,0.62055388258278,0,1,1
Cluster_924,38.8599797651345,0.323551746078554,0.560378006819747,0,1,1
Cluster_925,86.7518180125231,-0.107367251959859,0.408729426648085,0,1,1
Cluster_926,11.4331261543455,-0.32299868964954,0.643929155419542,0,1,1
Cluster_927,86.0476533506654,-0.00776626342488411,0.406832093941253,0,1,1
