"gene_id","protein_match","POC-201-TP1","POC-201-TP2","POC-201-TP3","POC-219-TP1","POC-219-TP2","POC-219-TP3","POC-219-TP4","POC-222-TP1","POC-222-TP2","POC-222-TP3","POC-222-TP4","POC-255-TP1","POC-255-TP2","POC-255-TP3","POC-255-TP4","POC-259-TP1","POC-259-TP2","POC-259-TP3","POC-259-TP4","POC-40-TP1","POC-40-TP2","POC-40-TP3","POC-40-TP4","POC-42-TP1","POC-42-TP2","POC-42-TP3","POC-42-TP4","POC-52-TP1","POC-52-TP2","POC-52-TP3","POC-52-TP4","POC-53-TP1","POC-53-TP2","POC-53-TP3","POC-53-TP4","POC-57-TP1","POC-57-TP2","POC-57-TP3","POC-57-TP4"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16036.t1","Dnmt3l-201",1237,1118,216,574,602,147,528,2052,1220,1399,476,1795,925,150,901,973,997,413,863,1181,888,1114,1080,1435,1548,1081,90,104,580,799,1320,1606,1421,1673,374,1215,300,1792,1187
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1614.t1","Jmjd6-201",243,415,203,567,265,86,261,666,311,584,268,453,284,373,467,564,409,432,386,210,232,356,322,226,261,252,169,32,262,289,374,248,192,385,182,247,257,507,427
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16424.t1","Kdm6b-201",1386,772,159,416,558,202,472,1185,1109,1205,375,1308,888,214,656,687,902,387,864,1456,2026,1238,1684,1084,1786,756,78,0,1863,744,1029,1278,1691,1051,475,1173,462,1277,1397
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16538.t1","EIF3F-209",890,811,777,1255,451,426,771,1114,672,1187,692,869,612,879,894,626,1141,1519,1366,440,600,828,825,819,1141,837,1449,204,799,1131,946,427,573,1012,1588,930,376,895,1483
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16620.t1","Kmt7-Setd7/9-201",48,6,0,8,41,4,128,4,222,0,121,4,10,34,78,11,16,47,17,57,12,25,6,53,18,37,19,0,36,27,8,18,0,0,9,61,235,19,18
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16826.t1","MYSM1-202",66,175,75,109,99,6,43,301,171,215,48,291,143,13,62,191,180,77,123,117,94,125,185,162,156,143,64,0,113,112,108,98,89,133,66,114,143,186,125
"gene-Pocillopora_meandrina_HIv1___RNAseq.g16896.t1","PRKAA2-201",542,367,59,188,159,35,66,861,330,554,77,857,197,66,150,279,383,91,245,267,324,237,595,337,567,391,21,0,282,191,399,246,204,361,152,309,117,357,403
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1697.t1","Prdm1-201",117,100,25,167,24,0,76,227,53,151,52,56,57,60,104,154,145,81,146,84,28,79,68,103,17,73,10,0,47,46,59,77,18,55,28,81,80,62,90
"gene-Pocillopora_meandrina_HIv1___RNAseq.g17040.t1","PUS1-202",88,184,93,169,125,8,179,184,135,178,97,163,78,139,86,223,167,182,121,93,86,120,79,245,197,153,110,24,127,125,135,147,121,205,210,109,133,89,299
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1730.t2","Arh3-Adprs-201",259,124,27,150,54,23,153,102,54,176,32,93,74,42,101,88,88,34,130,46,49,78,55,67,87,58,11,28,49,53,189,37,77,129,40,120,57,114,76
"gene-Pocillopora_meandrina_HIv1___RNAseq.g17306.t1","METTL4-203",70,339,103,288,150,12,87,463,156,293,284,200,162,163,235,458,431,189,250,107,47,84,88,118,144,85,67,0,79,132,266,140,68,161,65,41,52,166,79
"gene-Pocillopora_meandrina_HIv1___RNAseq.g17397.t1","Smyd5-201",35,109,37,116,45,7,35,42,14,74,12,21,52,27,46,123,124,40,52,22,16,23,27,38,41,19,65,0,13,92,61,123,31,82,6,117,34,169,73
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1753.t1","Egr1-202",36054,19852,10730,71101,29790,5433,10639,1423,5352,139524,26945,2444,28068,41245,55740,43552,40079,25689,39370,6212,8393,61083,4910,4249,3326,5325,1434,1942,5458,36222,91905,65107,14021,97745,5249,22914,4417,125368,11397
"gene-Pocillopora_meandrina_HIv1___RNAseq.g17986.t1","Kat5-201",838,492,150,541,605,260,791,812,679,717,560,998,1430,290,1524,434,502,1365,1222,1474,2287,1402,1498,1037,1640,1371,88,105,1543,764,1031,600,872,691,461,787,377,705,1346
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18086.t1a","Riox1-201",675,281,85,214,85,27,120,210,208,245,372,139,152,128,159,267,275,306,316,146,204,612,152,212,241,164,154,0,122,105,150,110,95,188,142,174,95,291,465
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18172.t1","BUB1-201",66,91,11,77,76,38,72,105,17,142,48,17,36,40,103,119,108,64,160,10,16,86,23,12,40,34,0,0,18,98,134,49,44,114,54,103,35,172,204
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18186.t1","Prdm11-206",0,0,0,7,3,0,0,18,10,11,0,6,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,2,7,0,0,0,0,0
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18209.t1","METTL5-201",54,113,17,8,32,0,49,82,25,45,35,22,15,29,10,50,86,19,41,40,33,6,23,40,25,33,28,0,46,16,28,7,17,32,33,46,18,29,71
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18524.t1a","Kat3A-Crebbp-201",2974,2919,942,2710,1455,479,2498,5365,3588,4016,1439,5401,2319,1182,2787,2945,2828,1714,2632,4658,4172,2291,4138,4302,6466,4161,674,625,3196,1910,2731,2210,2840,2928,2975,2883,2664,3184,6161
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18672.t1","OTUD4-201",5580,3138,1488,2895,2688,1280,2856,5849,4884,4082,3336,5332,3918,1478,3970,3325,2947,4309,4151,5690,5765,4560,4809,5611,6401,5642,934,861,4478,2937,3468,3143,4382,3278,3886,4094,3119,4031,7175
