,POC.201-TP1,POC.201-TP3,POC.219-TP1,POC.219-TP3,POC.219-TP4,POC.222-TP1,POC.222-TP3,POC.222-TP4,POC.255-TP1,POC.255-TP3,POC.255-TP4,POC.259-TP1,POC.259-TP3,POC.259-TP4,POC.40-TP1,POC.40-TP3,POC.40-TP4,POC.42-TP1,POC.42-TP3,POC.42-TP4,POC.52-TP1,POC.52-TP3,POC.52-TP4,POC.53-TP1,POC.53-TP3,POC.53-TP4,POC.57-TP1,POC.57-TP3,POC.57-TP4
2C13-Tyrosine,127488.705347828,164186.730877495,215509.55960251,199014.275203037,215568.578715237,198122.404164055,217348.15064269,207972.213615764,125375.213089196,161258.092846056,211786.950926422,87935.5572867945,310989.87656879,142294.068244558,180083.587746068,220187.218509893,172408.610418029,122324.767044654,230876.944174875,139718.367971025,169552.933384409,171499.489190154,118080.293428179,161812.225408548,205407.813973969,189902.731895889,133728.322410336,377624.464865716,135628.26477941
3C13-Lactate,3525509.71090757,5272277.32306471,4496711.91288284,5801453.08108926,8027255.92802975,4995718.41335006,5985640.78880206,5368449.15603957,3489184.67220043,4960957.59547585,6182415.0136556,3528729.08769078,9950493.42205312,4522292.958278,4811302.31944821,5523924.52848589,5752946.40228361,3172908.22980054,4832815.06811943,3784718.12393581,5095436.18133425,4458191.15195293,3880659.73689203,6278669.65499618,5104929.70772506,6388632.8790773,4108720.73396559,11256203.2645334,5047889.59030725
6C13-Glucose,3263813.76016157,3613602.71824021,2265714.21784052,3383387.94309274,5072696.72620755,3842929.60165953,3947379.34079615,4119698.35449098,1998681.12547155,3064818.29025032,2847129.84561414,2296507.18613954,4037944.67535689,3310860.6210362,3071293.96598286,2857106.86534692,3032937.39937941,2446309.45817906,3249917.1031294,3711012.66646821,2251780.53349842,0,2842886.76975108,5173421.58414607,2727564.78904359,3980411.54370157,3357187.00646126,5319721.43865279,3276391.53277416
Cytosine,91660.8369141903,236011.605176593,72793.462428602,155239.691809054,73050.7261816065,0,285164.214688745,192127.679087062,146347.322302351,271908.454900974,126207.934236249,95821.4446244345,99017.5946885855,285606.348328284,0,129728.688206604,152478.895454351,84561.6434727589,175789.439935632,177088.799776916,0,61742.0228264699,823683.171857781,0,161094.599199779,171196.21154334,315773.487032995,99651.4010046497,118125.669886852
Anserine,0,48113.3365431086,77691.8384099202,132310.566724338,60012.5520332986,0,53596.5248927497,0,0,0,0,51589.7699030163,0,43108.9841624956,0,0,0,0,0,46613.5163944416,0,91880.3997526796,45921.6786402541,0,83818.8857356084,134928.553466036,50495.1452046472,92240.2154045268,0
Argininosuccinate,0,94767.7304168104,0,283794.14689347,206110.863041486,22187.3735764302,30978.6123209044,90227.2284940449,0,38503.3479937286,228926.59384073,120764.708698339,207798.068949466,0,0,125017.669448542,53718.2944742638,153558.879074761,96407.0036438026,27897.5777205772,0,219266.094652448,36316.0352339184,13947.0112960828,117749.439892734,192903.676337463,0,136723.463652227,0
Itaconic Acid,0,432528.790459716,0,451878.454804681,454683.543562746,360510.083685182,0,380423.947232355,386353.607764882,433045.978757001,336386.69257739,0,0,554795.280906881,0,0,300765.692298608,453496.260319626,663791.673930385,702715.699031037,0,482452.402727042,419450.557203321,0,244721.270828377,645076.565095199,1124187.82608858,0,717397.801501499
N-Carbamoyl-B-Alanine,15550.3547528379,2812.47412648627,0,0,0,0,0,20081.8399400742,11877.6991283125,5981.08879603383,3811.87928054235,4652.49586582521,4347.68017635911,0,0,0,0,7386.63269941789,14740.158415681,7555.97457590214,0,0,0,0,3727.7950601829,0,0,0,0
Theophylline,0,20448.1816652691,3685.49835770482,41169.2715219498,0,5774.02495469494,56607.5262533666,0,0,25123.0810358851,0,0,38490.4008821464,0,0,18265.0691342974,0,0,15751.2431476946,5613.76554555565,0,15872.759905944,0,7700.34098513048,22993.4167167193,0,0,28303.1528871601,0
Cystathionine,0,0,0,20231.5043339985,39398.1492733205,0,0,0,0,0,0,0,0,0,0,0,17248.0309931924,0,0,26179.774397483,0,26930.4497325589,23908.2613894172,28320.3998924692,0,59972.6315811597,16368.278371355,0,43630.8609904555
DUMP,0,1245345.51769219,0,1967507.70146175,518762.030580362,41156.8783761889,351769.252595753,740249.651174163,33923.9848284443,496710.844481072,664917.215189243,2052885.57077226,217960.980788853,86640.7591511688,0,153054.25201617,33081.8401950324,251736.0001675,1734424.01345559,75091.0631459765,0,206115.91788149,249115.332075095,0,154944.508152456,282918.253580594,317895.816376594,649048.453727344,0
2N15-Xanthine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
