,POR.216-TP1,POR.216-TP2,POR.216-TP3,POR.216-TP4,POR.236-TP1,POR.236-TP2,POR.245-TP1,POR.245-TP2,POR.245-TP3,POR.245-TP4,POR.260-TP1,POR.260-TP2,POR.260-TP3,POR.260-TP4,POR.262-TP1,POR.262-TP2,POR.262-TP3,POR.262-TP4,POR.69-TP1,POR.69-TP2,POR.69-TP3,POR.69-TP4,POR.72-TP1,POR.72-TP2,POR.72-TP3,POR.72-TP4,POR.73-TP1,POR.73-TP2,POR.73-TP3,POR.73-TP4,POR.74-TP1,POR.74-TP2,POR.74-TP3,POR.74-TP4,POR.83-TP1,POR.83-TP2,POR.83-TP3,POR.83-TP4
FAD,232332.624486783,161521.018783386,165807.963365604,131732.171457616,60378.5129999359,43067.3854177439,47832.842163005,67455.6052304187,100669.439117891,47186.3734159506,195514.393564781,64248.6277670201,75799.8513232123,150238.242562031,48987.7614907457,48098.0266320765,56102.8534130995,30365.2055949601,0,177964.958740434,117526.276982734,210948.050487372,101949.983007605,46824.79378765,46156.1755876379,203159.355692356,93275.2584801262,106828.291436778,71367.6181171586,109530.524097681,22328.3769880544,149088.364704867,157573.24217209,134006.940167797,192503.858742744,34111.8388801078,125753.569117321,92743.6634752034
3-Hydroxypropionic Acid,255647.049109046,161628.541409721,107704.948116077,147883.246629326,92890.8731025317,128117.027681867,146315.425561708,253838.672905088,233020.32820225,87694.1469168797,151542.993569681,102292.463228331,122876.762524968,126364.880862347,76677.6480806524,119859.889949539,199498.862791235,111513.932477561,326627.271264143,203802.602856849,167092.122982235,239199.391090893,92060.3006487605,178517.141998999,103311.766809918,162277.02739279,266674.162798108,115420.662272293,137959.069413761,184237.382710826,119038.086242433,137702.117718516,146547.986454443,132540.504620987,140652.967654972,147694.967441012,85089.1933843845,68333.962374812
isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid,231385.353323365,333173.788192787,1002748.9330057,249111.367914648,113840.780858579,109560.421845179,87530.5299642664,141961.455470671,173316.123549015,118371.504258041,155273.198262205,98226.1021166963,311551.381610963,286829.232836651,153496.339595621,111583.778922906,208492.575748247,71173.1911532157,239538.471416799,152484.396619829,130581.66803046,161508.063611412,116934.440891677,105855.445152934,207783.438474368,128482.856316996,424173.885241082,444598.169875942,192281.094836335,903436.025755274,79073.01847383,133512.127025333,222503.529735293,186741.356034526,104110.245367533,105230.798325414,143730.032174253,248705.221573217
gamma-Aminobutyrate,63499.3734618032,58676.938346615,208891.271765893,41506.467366112,19668.6562486796,22992.2185081952,33227.7992200354,50556.1016086841,37286.90340742,32271.8964423912,41002.6786932837,27888.6063347343,61557.0232162601,35098.5142142433,55781.6749315508,31619.1837130569,42515.624849721,24678.5974061313,0,42189.3262318661,30767.2973255995,67427.4320522356,29277.5538938518,150879.144114772,24442.3794798694,42849.2133926026,29805.3416719169,23823.89060265,32469.4733186766,219849.532829107,29477.4466817032,34448.2980793261,60224.2418316128,49564.0924141578,43214.897524225,9126.70390295844,28981.0512719913,81396.6694179779
3HBA,683123.873049845,493407.099835032,773185.250799245,383860.516905754,123849.722290796,147594.461812633,102125.885841915,266497.313417556,334655.618670877,667503.978174217,108947.729797062,183418.928186272,228555.950347205,320412.436150282,175630.596980816,167363.621542183,544524.423681352,122538.326278776,238876.006603411,253497.767900515,223925.819037825,160036.356191716,128031.829278606,6479233.96772828,764167.507464572,194890.081667804,592803.763020838,171430.969444779,264933.970262162,594462.101671271,9470510.41657023,173510.703753886,352970.733568563,405396.68081674,354777.878794001,341762.001912816,237286.851168696,186497.978050661
Uracil,43569228.7864616,43330755.0530785,49187891.175855,17637172.4762394,13258391.8479535,11249588.099319,140724.150380085,470783.611714407,29731817.8840263,14315106.9958795,861042.041096481,280816.971394189,913599.779196275,266913.083385162,20116657.3442536,14706918.0653299,18662985.0515808,5765951.09731106,441871.272935566,93906.7182430514,265853.702541615,401755.570754414,2673570.6023571,997767.823289138,319582.929701093,706808.915256282,14848307.959134,12666887.9123902,15872135.1306876,51755765.0853375,11618259.4899585,18330367.0949347,32338860.3927603,23439644.5317197,12367429.1084354,4802062.42904505,11541713.8901314,22282672.9800204
Maleic Acid,268384.182664169,242247.658202566,216129.930468033,233142.549873027,140306.854008696,174709.118294343,161163.874857274,264363.841195795,243962.697582767,174554.785772084,169974.863658825,173477.150605532,284091.303580183,209266.257982112,195467.498484976,211851.549354318,194886.157240832,124977.097459344,274598.816578057,182087.14613005,209215.640656003,291078.855193956,122469.363714449,191382.907898079,201434.628346512,143466.762626634,353934.06155364,560674.593352364,154998.763264139,344525.981772412,153440.1453848,156963.904244522,171820.344289974,232133.752501743,176672.122390053,171320.41540158,217901.748281042,283908.764164951
N-AcetylGlycine,29364.4407809762,17963.6366946204,30110.4093912512,14001.8437044707,10476.0454197584,6122.78761306677,45669.6885118681,17445.1150153052,11405.043328728,7565.25764930039,23771.5541021018,7490.24952588558,17384.61783029,8932.27951683302,19944.4722372348,8249.73283236047,15229.9714999689,8037.10769559817,17825.3042451025,9927.49910208609,7601.2157319042,11533.4321318192,6400.75392668142,28330.0909480862,12639.7469312385,12477.3739228214,18088.5825409854,7323.77510692224,7946.68610890631,29646.9190610597,0,0,14327.9858554779,13814.7117354991,12649.6307058284,0,9721.65693779427,12147.1533433109
Guanidinoacetate,30294.6169592451,16883.4635214582,8430.9478203051,0,0,0,53680.2473957548,8469.7517723563,9104.06932778028,97384.036524089,0,0,7695.01408219949,0,22584.2205361103,7142.00631733267,0,12654.8731892866,35750.3193081287,13783.9843461226,8456.46029205724,170083.549832189,0,1346200.65586472,7950.5416107005,0,22748.4691693448,39609.5621248373,32158.1371741426,59350.1021590209,0,0,8994.87975246519,19095.6603251478,10769.0227992473,0,0,0
Succinate,1424586.33896433,5922637.00853785,4339353.42190238,2679192.9291631,785242.879447016,1454565.96954248,944911.167403521,1194704.07504448,11213744.2439536,1532510.3340512,2841555.8658801,2035157.86853309,2168617.95994881,1794208.37962554,973531.086861027,1211912.47010261,2519164.53211662,1106390.87443497,1220010.69703821,1360007.71096924,2385550.59492598,2335883.45716744,1298323.82428506,4377805.09725437,2145092.78721055,1442478.33562156,3231475.27121626,1338362.14934708,2121804.06353422,3953727.90353163,1151382.94414743,1135587.31301317,5865090.81917108,1288511.09839258,1492230.45357119,1036720.54318596,3984400.624502,1710116.79384533
3-Hydroxyisovaleric Acid,39827.5815467202,72328.1391014025,55570.9082225879,107627.867898682,0,76818.5159516322,0,0,124746.469910998,286180.329777482,0,81411.7210112222,0,58331.3197389115,0,0,272239.454329372,0,67252.2927082379,48643.6469310404,62086.0947511858,0,0,3788632.82650813,168051.367597984,73059.3324229108,130148.424231294,0,75723.4440960132,176463.107487711,676839.211018421,67919.4732730003,107096.426785842,62546.8768246974,0,103209.784230496,61212.1066986826,35233.4594485756
Picolinic Acid,1734245.11567825,8013597.07202169,7389714.79633235,5460469.17877959,2655224.45065616,6979814.26339499,2073896.2810129,8563241.2654249,4006414.79176821,5954751.20947296,2910704.52186453,6514676.20474119,5201583.9058598,7593443.2200809,2444207.74003943,6510741.80432757,5222735.1196737,2000453.88795519,839817.049374346,1999357.84636132,6982379.14724491,7633561.18899344,15316291.8124635,951102.979142844,5554130.7818547,9978062.71920845,4666542.29959594,5171242.89715176,4206779.03461322,6199487.55365201,2305148.46404508,9126774.59718907,8027217.74166275,3110540.15545949,1943031.20025288,2750370.32242988,7322757.13306219,8867417.30672239
Thymine,11286812.3266754,13216127.9145515,20275128.1749227,1970720.3720755,447588.280526693,0,402770.885581461,868214.840440097,402231.899726163,299257.340572265,0,0,525619.411260546,0,448244.270859856,310202.679404069,319126.677972283,345565.789598967,570825.720397539,368940.792775866,422943.938144037,580251.572603649,0,1000909.64078085,0,0,617284.823391574,0,293864.030270222,2371250.30977726,414471.551031073,420148.120516193,382482.13232373,424009.892910922,0,0,267654.07264413,419125.980933953
Citraconic Acid,468234.959983168,352911.967071407,488545.769206067,402308.205461183,266378.641737242,228065.442841386,221631.817824957,325160.451630023,379802.186696513,179468.809780118,221215.353598706,358109.487835137,454761.879133512,323630.391308204,262949.44345172,232779.090677925,329501.465345308,200468.165033759,714505.475755126,402928.238700943,349611.603586652,456832.808771214,169706.987282543,315387.759413429,300064.251259222,246906.353787903,405500.982489321,222796.337107928,290143.322120524,793827.673504305,334434.386115461,304390.521101543,465899.278906381,266076.376746952,324973.499996033,193859.891969306,302132.173926956,373010.907589868
N-Ac-Alanine,1160013.01109461,962886.581067993,7968309.78831858,834874.305116257,830214.204970875,354813.134005088,397067.933362466,550242.435134593,433037.485758869,420182.543725821,416565.325502636,646941.550618564,2653108.41118533,655516.921421963,2630164.88103768,368771.667798435,705959.693628517,232885.138753771,465974.364252804,214043.305877374,507125.216548678,457968.809722208,462746.15485651,190808.97955595,373533.943210261,384075.818588358,222079.892987562,175375.759309602,249603.685025845,8117276.08357212,229404.221967284,248821.972870403,693006.802627928,476083.719052486,239108.73709972,105337.303097409,475387.557874055,3114408.35685518
D-Leucic Acid,509420.002866085,472898.770571308,1348646.91560352,310043.258695863,242832.501006684,190639.410583255,196271.132582525,319846.263940281,810656.030099437,149363.370007013,367888.479159699,309693.14514476,629122.338307722,199571.355591631,477810.731903992,261631.227713565,392830.26565034,125377.46494209,377983.102402152,322398.668376406,351131.427422881,488611.769401485,179475.84200841,310153.413411469,259182.77869784,257243.158195463,548102.544402904,187824.171065584,174921.220924566,1654618.4408855,288781.994909871,330402.735024196,676542.324627991,333422.421337074,278812.823777752,186668.456094872,246777.12806841,827151.470298562
Adenine,244746318.882283,238819054.539765,248422489.942789,137924601.757695,115819181.010076,102871769.389861,18378442.1622296,15812413.6781999,191252949.455471,112865949.569945,32005156.3861295,6062482.74012576,10791085.621368,8794868.49469985,105451139.908499,102401833.887762,142142496.461895,61270022.1717373,37271389.5290294,13713829.4356433,6100190.75894428,26154729.63168,36099887.2875959,24831173.2204171,5368561.2250868,17919096.9508026,113670720.19929,94319198.1329281,125519023.678584,229577548.313528,92596581.4626873,124626375.035529,213297122.005145,165308554.665636,116158427.920268,50565022.3521523,105457436.581254,144552756.131217
Hypoxanthine,83435433.6274579,43057154.9712447,134034902.697789,30883146.6048323,16888742.7752213,18656124.5732541,784883.8135187,2923542.33021039,53094246.0848032,14722666.5542218,5646816.97614883,3836485.08898295,29352174.6461519,2957056.80484889,110857155.47132,34620561.6431844,47164050.6772714,14317790.877267,4080197.77391535,1169318.9694479,4412236.85948542,1790733.420513,22814167.1887698,8492497.4782546,6177040.26390153,5635235.78562723,29260847.2123242,24047614.1991772,7974806.12136003,136361340.059031,18503816.4553742,44610525.9826849,56632283.1500806,30519918.2547188,30426091.405735,11976909.8977898,19009021.7358262,49748537.5589463
Phenylacetic Acid,36080.3263935604,117691.554324669,125716.213562784,30101.7326802507,35850.5647012654,34510.7063369992,100587.567954175,30212.8709203487,105679.753145088,28203.1387971673,45044.763064365,35129.9430858769,46018.5440413519,37002.9089434622,96033.9622276355,31105.8452135536,86788.3757243117,27233.0902288832,52641.1497033769,86612.105471498,43011.5291592387,69516.7629769956,24168.4328600382,193568.827207788,38079.7510867524,100978.095103266,37728.545714506,31299.3533740356,100400.418666619,76593.4110663417,52232.3592680182,37160.9446934553,90118.0448855131,91827.5298307184,45250.5952299799,51669.2486794926,41359.9905001764,47255.9784594873
Erythronic/Threonic Acid,20024442.1410406,3871993.31012898,9195838.47712363,7051662.75346809,11503213.0075364,15312588.1219508,27716059.9934425,7309563.32632909,16693682.9828539,4782635.21742953,58135815.4815837,3257484.89152112,6367633.41523493,2112436.07276732,21415468.3454776,7184887.49197837,17779894.2076519,15164475.6444586,15387928.2553131,20362833.3869823,8512734.66177917,11446463.4838783,6243289.7901202,10533605.7390969,3939605.9772487,16703379.7460814,5047297.63273608,2036049.88415313,2481806.30932235,0,12570479.2337763,6166295.56943698,5464115.60149989,12402787.4461575,20505491.0257649,5623590.13088238,5683729.67662855,4502924.16227719
4-Hydroxybenzoic Acid,257951.565329954,344978.130042764,92503.3845118714,15911201.6510813,119423.094689275,310622.999429976,440815.505906188,362725.363329998,2102915.43790939,97112.2590561539,194051.544129801,246079.344788267,261250.19215925,360840.177743578,435047.721818703,472511.713410282,254533.216677063,506643.275984563,357888.796130194,217697.986307237,997209.330845555,1609607.15648159,70937.8091257848,211536.871599282,305719.895105277,164507.647866249,304878.383541149,151204.576121875,199681.905608704,3286544.42468489,307436.984029714,278657.713609921,214722.150529827,1527755.6220336,178313.505291049,111181.843503413,280573.910377528,320770.530881423
Acetylphosphate,18044.359695843,0,0,20301.263438541,0,16041.8100312727,33588.5240780015,73763.786328287,34547.5438132686,18243.1753558051,40996.8648965105,9251.8355813402,28366.7290218389,25477.3945983385,27806.9730333861,30151.8936330264,27926.5653563775,31121.9072467586,0,18632.3315124179,10909.5813797573,26144.3108257861,39313.2359530418,118445.278136467,35912.541170407,52367.0639209696,30676.7179909921,0,41278.6821237863,8515.50040646477,17550.7273838513,13556.85275528,46787.7616473994,17255.7181227256,38304.664412633,0,26467.5871082904,0
o-Phosphoethanolamine,2752157.18932656,5561010.66982493,1208647.72171852,3979293.10172458,997257.462308291,1367171.0420519,1886319.83377726,10637265.0393247,8628741.56984742,4438618.70845102,4471454.387298,1386470.09119365,4155313.23634317,6422976.10306492,1058800.92059044,3833710.87819827,2311934.15948892,3756751.49880725,576132.344002376,2231526.66747688,1248735.50450871,6485411.00400149,2850534.90583264,589666.527325392,3221110.02912924,4844066.66765784,2648378.57249326,1794649.9195438,3946090.37722077,1683627.66900613,990658.352904748,1267565.31329477,2747950.08353865,2564891.38653981,3148136.11825093,1233184.89899311,1790829.93510126,881596.375680642
Adipic Acid / 3-Methylglutaric Acid,802087.627961006,846178.21740123,2264799.59389958,408058.372438902,408840.498171485,192307.896682556,472604.745116124,467750.128775028,271549.29732444,0,488595.800456884,829659.651465864,941374.844639661,400922.87731342,434799.398479795,287614.523601139,476117.408113619,144378.462741834,470866.632570476,380432.591438318,703796.295819727,554162.834590041,0,545941.055801884,330360.139824477,194970.093390434,2278390.59204008,252608.041888135,536428.970697135,4028072.17400396,250336.177275552,245601.521269808,729195.094520839,436764.735392541,348501.87944922,135286.128388057,379671.132962158,1214723.41066077
Alpha-Ketoglutaric Acid,0,89537.8184438362,60581.7308280139,122852.925047798,52433.5137081715,90838.4775010998,56498.6659694084,81315.4411793234,78727.8045437402,96631.8070773125,153368.386891133,134056.610357366,103915.996009849,147130.914121013,58385.6125389201,62736.3363866853,106299.021110053,24330.8291900679,0,60026.9936208263,139724.062631633,113636.497735855,146509.087190217,120004.075259964,191630.877560244,137179.545307296,53271.9086898447,47228.5749583215,75720.0139761286,262611.806149177,73592.4444546759,288637.327882009,206829.775132487,106455.848325776,78190.4385528143,75724.6473503149,133425.09135569,34220.6419739632
N-Acetylserine,28920.6919894479,0,275894.933850894,0,17686.8005342808,0,14333.2237104624,17985.1882818253,21017.4465271872,0,11161.9472881833,0,59094.4055734015,0,54648.6129319225,0,13648.4754844853,11438.3737706213,23550.3940470431,12770.9379004786,0,16198.9463124818,0,16518.6394171783,0,0,0,0,0,228099.575842897,10383.7908314435,0,21490.3884200027,14859.7162905514,9306.54073813454,0,0,0
Xanthine,15831199.9033199,32895611.9530136,77063588.3771238,26464868.4203381,15926605.2599973,14293697.928261,841339.383505321,3627906.69876333,31445415.5049505,20432718.0652628,2444656.03958831,2763183.52834626,8375253.98675789,1422031.20416523,32332958.676479,20120603.8590498,29521149.5025108,11058851.3773386,2220532.84522372,777290.565810521,2560185.29666832,1413586.53584754,5199243.87967473,3844141.28219357,2357086.94803623,1510488.76699391,8809272.98399236,5236055.29869821,9454663.93504031,62715312.7292713,16314885.8786642,17488141.8014424,39124113.840455,20229963.2178904,11573430.7290089,6537682.10327249,19765991.6447132,34625628.4113018
2-Hydroxyphenylacetate,72062.7524409658,54457.3968949944,61811.2256333677,35023.9112978851,33512.4975773028,66071.9174162329,39916.220364756,115233.211688111,75165.5175707944,39570.3416333391,52698.7034766829,47797.9083971644,81998.4998451366,52372.4988725696,62543.5264133378,61478.6009529619,49206.4203636916,38354.4645587074,38301.5944507677,139738.861098125,45515.0221583408,44458.8934079881,31526.8892368541,93999.5745662738,44811.7933929146,48031.691960146,35711.3350906456,33280.6218793675,35753.1756273044,104045.235865905,64938.5733318647,41446.500896632,72347.7640421351,55475.2700328398,72017.3517634023,31208.9416955419,71549.7358844383,59101.9662261706
Arabitol/Xylitol,78094.2702041646,129903.17654246,112183.424184168,82194.5781733749,32917.7637188371,46475.9327780772,40372.2878889249,54282.794420812,124041.037828886,62743.2830501465,88303.9757813592,57713.1893899556,58695.232430911,96034.2582153949,37332.6555432269,88179.3672911934,122597.292407398,40812.1110762895,81627.6960796816,41472.0190015147,58209.1020147584,92417.561866561,51128.6142803277,28599.7032813501,75588.8351005143,87750.1219527577,997141.41308585,59692.4960485949,80621.9659684407,83845.967731952,34356.6638344864,56594.0987522038,93207.6135493668,75738.8527958602,54316.6969952305,31802.8471088586,77598.7793561531,73563.2021824908
3-Sulfinoanaline,5056.13752594521,4819.52751660308,0,12174.6272887657,0,7682.12781147379,7668.92338912597,8587.6077051084,18500.8083442791,0,0,0,5681.51476592047,5781.85808601476,8407.27293181165,8270.18480241537,10205.5871911255,9306.32841307989,0,5639.23312274905,0,25236.9930636948,0,9295.12213003325,0,0,0,0,0,11029.9287198152,4047.99283502152,3740.18578561263,5192.84418484962,10461.2174720478,15015.2525971553,0,5785.32392186979,6649.24021005321
Allantoin,31944.2906636461,44057.6870700279,34644.4943377487,24114.9893863017,41132.5518889159,18085.2324435428,27121.204743735,33094.7133256492,69365.2898830246,30948.4602334536,34532.2561567098,18578.8833564303,27104.0874311595,19867.1152308077,29439.267476683,17035.1592826759,45769.0347171157,21443.3697615259,41480.2537278553,38668.7162752954,37524.691689138,34606.7553272649,0,6608993.90377504,27961.5300218433,0,38825.0922762238,18175.2311096212,23072.3032758728,50894.135962727,27225.2914781507,19619.5402039822,57647.1261404673,46625.0287803819,21848.0325017307,0,22022.1209799921,22453.4406335595
2-Aminoadipate,335335.639188295,671559.196934265,687953.977652743,243211.08209398,70792.621297749,174164.787317971,302096.899368547,270191.566706419,924766.867333362,216658.21772804,255293.027936923,226596.890248205,115057.818749669,181644.259636245,262958.375530439,253761.100083834,300858.969579832,314744.43970821,47979.5460577015,156909.879463145,203471.421320721,312665.097262286,361043.707292426,1109888.28966312,116879.16933221,415596.318246249,271078.593626936,192479.777218135,389878.493077742,562161.297717923,118627.67930591,343396.999504377,453777.316032304,671321.033117942,252414.785234967,101793.050254674,207658.00901101,288888.261366707
Indole-3-Carboxylic Acid,28731.3822447206,328767.263946024,88865.559597419,9009.04135011252,15246.1848041544,11246.9972201069,15395.0517650331,12131.9804624564,23006.845416376,16005.1496903061,22883.0034099673,17047.3088281677,68122.2193456325,34770.6600662216,16661.7812042859,9778.88743644329,54434.3997901721,8122.81604236807,0,33769.1902711383,12936.6281263055,15336.4130842072,8601.78223994092,258408.086995339,21571.9887473858,0,26540.9518762912,14167.5984141595,13617.7287022751,97057.4028265264,89743.6573034733,0,18741.9941627422,41501.3008757169,13925.3191829885,60504.3267095157,12592.0006208518,42777.8789336954
3-Methyl-3-Hydroxyglutaric Acid,0,174042.455068427,301147.277393358,161826.427313058,33116.7985651114,165172.398464254,20753.4566230648,42295.5929402767,44816.8657168304,106452.674847367,28907.1372513405,251344.12752125,83486.4541350504,216971.253656615,46635.9148625562,109527.629330656,101147.432652758,28748.8836115844,559565.434259178,21696.2182731,251536.241035745,64171.1472352436,127979.573165665,0,171332.286850683,32809.1071134186,175636.819372871,248901.014649224,269848.301087561,339736.686819941,37868.3285213112,251891.725009217,61714.3601656248,74275.567583676,36166.0846486904,112083.915156308,225561.068572512,334037.661867602
PPA,25706.7099710474,41168.8526514545,38525.7595905079,15625.4966101646,0,13992.6866269116,0,33911.1580791069,27086.5593750633,19765.4361544752,15784.4589655934,13293.6924948095,26746.1852570879,21280.6282168273,23685.0368240941,23556.5038639021,31487.695289693,0,27864.8001073596,18033.6623493061,16237.2237930502,68650.53925104,16687.4561823184,3291643.19557426,15014.2707884843,15098.9674999288,19615.1089664617,12910.3810970831,15412.9408644805,147071.28761345,16781.6633105296,24568.7154517677,36667.4094332834,11358.4783498073,0,0,18648.5940008228,79741.8136142788
Phenyllactic Acid,3862355.36160699,4512004.9092703,13740682.4847096,2539682.89451939,1140958.01148068,1059587.39592102,658141.116873624,2116631.08879717,1975514.7368423,880131.087882838,1731955.19924416,1964075.7901292,6781377.20557288,1816106.79241542,3521706.98827672,1587635.56502567,1947677.17864858,390908.637358908,1428399.54976647,1313170.48881357,2098822.33177643,1256833.36420452,1579699.13929861,832024.181813265,1039878.01494267,1188990.68351802,1035846.64790039,535273.733971419,914377.336013521,13391702.8619516,979920.627213114,1759836.05572576,3952177.33193069,1112329.751062,1274132.3543065,393359.994620242,1741235.79937268,6891842.51818925
Urate,112680.575260629,147678.393430669,198923.004056216,150508.374512734,61410.6339125714,97966.3697238458,75008.68450887,118816.184478591,990600.268800985,145261.67113322,88441.4200635864,70140.5693960856,80819.6943865648,148704.164601064,93088.2715199984,68970.1455041518,103212.986035269,56988.6029758542,161076.510528549,108474.867220949,139989.912239057,221884.48767168,57124.9946172311,118994.11504873,179381.06493511,63617.466052935,85708.6408540916,101792.257801274,140814.27755216,175229.375211652,76642.8926942815,114908.075544042,341489.013311322,206019.537613629,126667.176789093,58322.0812388879,111648.851401387,139854.303722203
Glycerol-3-P,5281430.4887236,1836616.94757762,10624391.1701531,5272815.60666628,3348599.78003756,1549568.6282246,1726342.14611626,7499590.16881039,26547797.9302689,4754927.16571788,2120322.49436826,1513154.84927965,15073885.1927005,3013381.888648,5542104.84713593,3298134.27575241,3296310.72160481,1789046.11556259,190307.706785925,2669275.84346064,2015274.2715399,1744957.15913378,2260701.16830729,7676956.36000105,5518605.3257962,1711131.51655798,3944156.4575264,1167328.64867002,1596175.78641374,18386635.8044632,3220628.87516791,1045014.92829119,6433248.41545648,4701471.4100056,3325664.99601719,444940.229128613,2362011.13729317,10447988.3780849
Suberic Acid,473013.939798429,483872.579391251,796429.321121806,690006.918254623,340165.006925218,514587.15366341,243528.917371076,418707.018593064,479167.116965567,279483.034120697,355520.635771059,578952.685047835,498804.87030111,434716.614471392,369535.860605008,658482.347576385,536711.96543986,262990.463204956,500137.636659812,547907.022259448,807492.992556056,479744.588706812,222740.629474652,398710.785960451,891970.893937788,350105.313238306,1311915.10542035,481814.592524982,426219.997209796,764577.902018856,514261.316127872,453837.306042767,548890.90655859,445737.698896254,363636.150847456,380235.094749638,620238.496941871,551627.401704141
Indole-3-Acetic Acid,67422.0494218667,46612.2213741566,32849.5935835561,19195.2805608662,20951.51785552,16750.6668312826,33837.6943273963,38475.8835153726,42176.2292321689,36587.2660030322,43839.8144064663,36399.744452638,36904.754014266,18498.8208449148,44121.6460327162,22984.7797553589,34650.4888164988,25058.1619761309,24895.7642917777,21229.0070302967,31995.1119034853,27068.8028029057,30791.2887912282,434836.889802648,31716.7296585967,16465.4527130819,31537.1460222981,71040.1597746669,116399.33933727,79085.5764365899,61101.1073051534,14569.0004620876,30652.0424951047,51774.3388633227,19258.949158718,15086.5893034569,14708.9645606456,28428.2516215862
Citrulline,1894258.98870771,1540034.96823957,787907.326592083,409970.868987545,292405.351903223,306742.061670773,710166.609894596,1318884.16802381,1240582.16675184,476985.226202041,644770.264372579,331671.429461803,459383.828584107,367101.084210288,379367.660782254,465309.495984963,480117.983322774,937403.451179513,2508273.45773438,477766.6407476,449546.600531602,1153443.75711776,310129.439114817,13996654.831863,497341.525044604,481844.462001285,679586.927581846,382427.158013004,568573.372083898,1006166.6454632,595140.129050507,337700.517022636,965718.837402792,1412361.51613752,600643.367365806,204493.846826366,392748.162498695,565879.017935915
N-Acetyl-Aspartate (NAA),0,49072.410300453,430898.265800477,54459.0623392138,0,23384.1896113407,0,29186.0240452435,47266.3349272421,25999.1242339001,0,31346.0854274561,34285.4865663557,39255.4495799214,0,33155.9664801909,0,0,0,0,140182.825770664,463219.119349869,874079.86870783,27915.3496689486,270957.37784157,1469457.60178814,43777.0015907221,30908.3287745794,44697.5522643543,43057.3382959606,0,29992.8324457915,33610.8769640171,0,364193.130017034,270441.792255405,1009948.3321091,1264310.91775507
Inositol,12939882.8524612,14134468.0158101,22919218.4086479,8504366.80433915,4203445.84870315,4389494.95113649,10860603.764634,9765578.85839777,9586122.70658774,3550117.05509113,11424708.7764754,7128972.66319032,10829353.1127247,6498231.14669894,8556771.69821505,5271597.9461226,5653732.08020236,2824629.59795228,44718454.4226414,11565114.0432896,7076709.1693846,17550090.5113602,7362353.88105035,6700693.73116509,3833765.41934937,9533018.54575649,9379906.37574451,7718148.28291238,8841123.12871717,28748603.8900888,4722306.55642103,8371380.32012601,10979659.1032744,8032613.72877447,9789989.34554063,3485984.73693237,6251118.56844262,10922354.6472917
Glucose,772652.803044251,933864.313786275,1686108.00084079,890885.893661911,263495.31027745,365650.353632001,271370.569662379,855574.140356189,742299.43825474,388943.508568191,353088.577925566,539688.778772398,855110.225871119,886488.817436529,501374.818906713,476543.28039774,465855.05510076,190499.773072888,1888317.80448735,592080.228992926,629476.454056591,776173.289832321,523131.286527112,472303.24602232,272884.22346681,378266.472505076,353133.401059796,612286.02756252,469082.652121749,2472548.39170172,197315.192291732,825272.497806631,541706.946150533,410632.466287657,390557.651452746,550337.999162198,574128.461966512,850433.847670383
Sorbitol,54010.4273696412,1418707.42474059,250426.051133266,1903269.97169489,595711.935814824,2031395.97175512,122538.176041477,2594484.29187422,11426437.969553,17437240.4429939,2125647.31520789,605861.023219023,286294.235449788,298161.112840494,144015.094952246,344493.706363808,183886.160440165,147432.7031025,36849.2059027438,220953.539246497,158561.570447201,419190.008366436,136482.763650089,89744.4795530955,1413950.5635368,149536.163519452,10035369.1236871,5464569.29727616,2315704.25650439,10876965.2270517,1712828.99700005,168366.74204947,3119909.76060195,200418.486206907,196096.245340481,118467.928623043,221540.743388948,151914.83950242
Mannitol,731573.338396833,102495.404666051,54890.4355241033,38591.0327721265,26590.2849595996,46218.6731376652,46173.703993077,61662.7201961619,151132.659082836,290676.862856316,91578.2819215572,8702.84438979517,17139.4034585004,13268.8443062948,50894.1514127611,15965.443383382,56140.4045030912,11143.7156939808,156227.797551753,68119.5926757343,12361.5152350414,88667.1609057409,6329.66774099995,1167685.67395527,40687.9506455874,17390.2627055065,141805.576112755,240364.05039148,60666.3415680683,837119.566092151,43301.3392343055,13638.9229380862,76178.2581779687,90030.5663095484,26559.2050743402,3626.83492393743,7016.29779795813,10070.8731120551
Azelaic Acid,3279849.55770622,2742338.68139236,3230148.76815299,2978385.4731141,2170504.89386566,2001379.13912821,1714389.9145404,2669267.5439049,2223526.23334349,1103867.17084545,2202521.91191541,2374994.516869,2797235.45054317,1674507.87266782,2831102.19669594,3319147.39542354,2723729.65396952,1356843.74018815,2805914.77138409,3575963.04878692,2985946.47389902,2640761.55087146,939479.303112337,2614091.8328512,2863649.78661889,1991094.08914326,6214567.07012594,1772195.36478329,1702036.99117423,3686463.18442966,2758595.05507486,2057583.91204587,3472838.55195663,2902349.80743298,2412788.79674421,1297258.70171079,2702000.98116832,2522476.93860647
